Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Altamont,VFW Post 7676 Gieseking-Schwerdtfeger,120902193,5,704455.59,644880.65,59574.94,205481,145905.87,59575.13,20851.43,17785.05,3066.38
Altamont,Whistle Stop Saloon LLC,160701144,6,1105020.85,1021438.71,83582.14,314263,230681.14,83581.86,29253.88,24951.84,4302.04
Altamont,Wortman Holdings LLC,201001805,10,5720472.71,5299984.51,420488.2,1906810,1486321.24,420488.76,147171.05,125528.26,21642.79
Alto Pass,Dutys Country Store LLC,180703390,6,439964.3,406095.83,33868.47,136618,102749.43,33868.57,11854.11,10110.88,1743.23
Alton,"Alimi Brothers, LLC",220702198,6,512460.92,464026.9,48434.02,171539,123104.98,48434.02,16952.03,14459.09,2492.94
Alton,Alton Mini Mart Inc.,230700875,6,1137163.13,1023813.39,113349.74,357626,244276.26,113349.74,39672.62,33838.41,5834.21
Alton,Alton Owls' Club,120713090,5,638042.06,596197.85,41844.21,190627,148782.62,41844.38,14645.55,12491.79,2153.76
Alton,Alton Post #126 American Legion,120911002,4,197376.45,177285.88,20090.57,61073,40982.43,20090.57,7031.75,5997.68,1034.07
Alton,"Alton Post 1308, Veterans of Foreign Wars of the United States",120901471,6,1005526.81,931660.04,73866.77,314527,240660.43,73866.57,25853.51,22051.52,3801.99
Alton,Alton Truck Stop LLC,140702039,6,4669165.74,4210636,458529.74,1510734,1052111.21,458622.79,160518.18,136912.57,23605.61
Alton,"BLUFF CITY GRILL, LLC",160703352,6,707003.86,635981.75,71022.11,263153,192130.89,71022.11,24857.9,21202.32,3655.58
Alton,"Bubby & Sissy's, Inc.",130705548,6,474166.12,447936.41,26229.71,137163,110933.29,26229.71,9180.54,7830.46,1350.08
Alton,"CATDADDY'S, INC.",140701301,6,651078.8,578136.71,72942.09,225976,153033.55,72942.45,25530.04,21775.62,3754.42
Alton,Decaro/Smith Corporation,210701368,3,121989.92,115699.9,6290.02,32862,26571.98,6290.02,2201.56,1877.79,323.77
Alton,"FAST EDDIE'S BON-AIR, INC.",120700205,6,2153836.98,1944735.26,209101.72,824901,615799.28,209101.72,73185.69,62423.08,10762.61
Alton,"Fork Restaurant Group Alton, LLC",160702781,6,2467616.43,2234492.06,233124.37,881031,647906.43,233124.57,81593.67,69594.61,11999.06
Alton,"Four Siblings, LLC",120700641,6,502617.9,464328.17,38289.73,154726,116436.27,38289.73,13401.46,11430.65,1970.81
Alton,Heaterz LLC,220701072,6,745791.19,678101.14,67690.05,254194,186503.91,67690.09,23691.72,20207.65,3484.07
Alton,"Johnson's Corner, Inc.",120704189,4,711932,647084.24,64847.76,255202,190354.24,64847.76,22696.71,19358.96,3337.75
Alton,"Lucy's Place, LLC",130700816,6,4544450.19,4114289.96,430160.23,1519261,1089100.77,430160.23,150556.37,128415.72,22140.65
Alton,Milton Place Inc.,160700761,6,2527011.29,2293271.23,233740.06,837713,603972.94,233740.06,81809.14,69778.39,12030.75
Alton,NEELKANTH INC.,150702149,6,649422.27,588289.55,61132.72,242685,181552.38,61132.62,21396.54,18249.99,3146.55
Alton,"NEW D.J.'S BAR & GRILL, INCORPORATED",120700651,6,2014953.81,1850299.92,164653.89,675727,511073.11,164653.89,57628.88,49154.04,8474.84
Alton,"NICKLESHOOTERS, INC.",140700988,6,1037929,936546.56,101382.44,373536,271971.98,101564.02,35547.53,30319.96,5227.57
Alton,No Losers Corp.,190701009,6,2804311.38,2545688.28,258623.1,931898,673275.2,258622.8,90518.21,77206.72,13311.49
Alton,"Norb's Tavern, Inc.",120704520,6,2638022.41,2378370.71,259651.7,925272,665619.87,259652.13,90878.4,77513.93,13364.47
Alton,"Nu Bowl Lanes, Inc.",120701464,6,2576978.91,2352797.21,224181.7,802261,578079.34,224181.66,78463.79,66924.99,11538.8
Alton,"Pearl Market, Inc.",220701940,6,1310684.67,1180199.48,130485.19,450285,319799.81,130485.19,45669.96,38953.79,6716.17
Alton,"Pete's Lounge, Inc.",120706274,6,3948538.27,3606526.18,342012.09,1240467,898455.05,342011.95,119704.54,102100.94,17603.6
